,Unnamed: 0,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
3305,3305,667,美好置业,0.948,2.13,2.11,2.15,2.07,2.11,12537503.0,0.4936200000000001,26575927.0,8.205,0.785,545193.166716,541002.6045029999
3307,3307,665,湖北广电,-0.47600000000000003,8.36,8.41,8.52,8.09,8.4,3119673.0,0.4903900000000001,26007081.0,15.774,0.8909999999999999,531877.786528,531828.7760279999
3309,3309,662,天夏智慧,1.483,6.16,6.06,6.25,5.9,6.07,7733296.0,2.0662599999999998,47155300.0,9.02,0.9159999999999999,673348.204144,230547.77899999998
3314,3314,655,*ST金岭,-1.629,3.02,3.06,3.08,2.92,3.07,3912398.0,0.65717,11810579.0,-5.687,0.778,179792.74946,179792.74946
3322,3322,635,英 力 特,-2.147,8.66,8.85,8.94,8.21,8.85,4330382.0,1.42876,37152125.0,27.935,0.8690000000000001,262473.86333200004,262473.86333200004
3331,3331,625,长安汽车,-2.4730000000000003,8.28,8.53,8.54,8.07,8.49,17590446.0,0.46771999999999997,146602258.0,5.557,0.812,3976592.967108,3114009.522648
3332,3332,623,吉林敖东,0.882,17.16,17.01,17.41,16.8,17.01,4333422.0,0.3956400000000001,74313811.0,10.725,0.972,1995313.2547919997,1879539.5327279998
3335,3335,619,海螺型材,0.0,6.24,6.21,6.32,6.18,6.24,1428175.0,0.39671999999999996,8909005.0,248.606,0.9259999999999999,224640.0,224640.0
3350,3350,600,建投能源,-0.565,5.28,5.31,5.4,5.1,5.31,5942477.0,0.5451600000000001,31327512.0,56.17,0.87,945978.7265280001,575543.298528
3358,3358,591,太阳能,-1.34,3.68,3.62,3.77,3.43,3.73,30512624.0,1.49785,109928501.0,13.731,0.904,1106612.075776,749652.405872
3360,3360,589,黔轮胎Ａ,0.946,3.2,3.16,3.22,3.1,3.17,2246194.0,0.28968000000000005,7115895.0,-11.034,0.7440000000000001,248148.57728000003,248130.32192
3361,3361,587,金洲慈航,-0.539,3.69,3.6,3.76,3.53,3.71,96969426.0,7.9941,353428614.0,7.688,0.8230000000000001,783663.50277,447601.37265
3369,3369,572,海马汽车,-3.951,3.16,3.31,3.32,3.01,3.29,17477946.0,1.06433,55191334.0,-5.227,0.805,519705.11061599996,518919.865784
3376,3376,564,供销大集,0.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,20.305999999999997,0.939,2871741.8944180002,902619.8394719999
3386,3386,552,靖远煤电,0.654,3.08,3.06,3.13,3.03,3.06,9084374.0,0.5832900000000001,28091466.0,12.754000000000001,0.9890000000000001,704387.0834,479691.127608
3388,3388,550,江铃汽车,-1.2,11.53,11.67,11.88,11.2,11.67,1173400.0,0.22634,13506788.0,14.413,0.9279999999999999,995285.7420000001,597746.5154800001
3393,3393,544,中原环保,0.0,6.66,6.61,6.74,6.5,6.66,2299144.0,0.44073999999999997,15264926.0,13.32,0.7829999999999999,649139.869008,347419.089144
3394,3394,543,皖能电力,-0.22399999999999998,4.45,4.43,4.53,4.35,4.46,7446960.0,0.41594,33102062.0,63.571000000000005,0.802,796726.21021,796726.21021
3397,3397,539,粤电力Ａ,0.941,4.29,4.24,4.32,4.2,4.25,2067852.0,0.08097,8819037.0,30.643,0.951,2252371.829994,1095627.030927
3400,3400,536,华映科技,0.7659999999999999,2.63,2.59,2.67,2.55,2.61,9530307.0,0.4757900000000001,24900521.0,35.493,0.5920000000000001,727466.627189,526803.179382
3404,3404,531,穗恒运Ａ,0.0,4.76,4.78,4.87,4.7,4.76,963970.0,0.14071,4603129.0,17.702,0.833,326099.42231999995,326098.672144
3405,3405,530,大冷股份,0.5589999999999999,3.6,3.6,3.65,3.52,3.58,6757154.0,1.13068,24352480.0,15.652000000000001,0.904,307956.27132,215142.34788000002
3412,3412,521,长虹美菱,0.27699999999999997,3.62,3.62,3.66,3.52,3.61,3883100.0,0.48408999999999996,13983291.0,116.399,0.741,378144.432922,290375.662106
3420,3420,511,烯碳退,-3.846,0.75,0.78,0.8,0.74,0.78,35555079.0,3.0788599999999997,27190394.0,10.714,0.862,86612.400825,86611.075425
3434,3434,428,华天酒店,1.099,2.76,2.74,2.78,2.71,2.73,1400725.0,0.19485,3845229.0,25.794,0.958,281223.576,198412.1082
3452,3452,404,华意压缩,-0.243,4.1,4.05,4.16,3.98,4.11,4749557.0,0.6858200000000001,19361792.0,26.974,0.902,285358.35139,283940.20034
3454,3454,402,金 融 街,-0.992,6.99,7.06,7.15,6.83,7.06,20424851.0,0.68361,143014025.0,6.921,0.6930000000000001,2089262.004993,2088468.0032040002
3461,3461,159,国际实业,0.865,3.5,3.47,3.57,3.4,3.47,2392644.0,0.4972900000000001,8318230.0,-25.399,0.8170000000000001,168398.7529,168398.7529
3463,3463,157,中联重科,-1.485,3.98,4.03,4.05,3.92,4.04,25768928.0,0.4139100000000001,102572652.0,23.412,0.8150000000000001,3102031.13385,2477867.230278
3477,3477,69,华侨城Ａ,-1.597,6.16,6.25,6.28,6.02,6.26,36951752.0,0.60109,227571702.0,5.848,0.939,5053714.15164,3786836.646824
3485,3485,59,华锦股份,-0.318,6.27,6.32,6.41,6.18,6.29,9740879.0,0.60902,61564896.0,5.452000000000001,0.8029999999999999,1002850.4706989999,1002848.3037870001
3496,3496,40,东旭蓝天,-1.609,9.17,9.1,9.2,8.51,9.32,21716881.0,2.06504,194439933.0,22.366,0.976,1226187.8904239999,964356.166998
3508,3508,27,深圳能源,0.619,4.88,4.84,4.92,4.8,4.85,2636318.0,0.0665,12841127.0,25.684,0.917,1934671.899336,1934671.899336
3530,3530,1,平安银行,0.698,8.66,8.61,8.78,8.45,8.6,98828269.0,0.5755800000000001,852071527.0,6.662000000000001,0.731,14869576.242956,14869433.705418
3531,3531,900930,*ST沪普B,0.0,0.402,0.0,0.0,0.0,0.402,0.0,0.0,0.0,-0.439,0.445,15365.458547400001,5016.96
3532,3532,900906,*ST毅达B,-5.093,0.205,0.205,0.205,0.205,0.21600000000000003,16200.0,0.0045000000000000005,3321.0,46.591,0.188,21961.1294025,7387.38
3533,3533,601798,*ST蓝科,1.81,4.5,4.43,4.53,4.3,4.42,1594354.0,0.4497100000000001,7052794.0,-18.293,0.9279999999999999,159537.6891,159537.6891
3563,3563,600634,*ST富控,-3.861,2.49,2.58,2.58,2.46,2.59,17277504.0,3.00096,43229117.0,31.125,0.7090000000000001,143357.288169,143357.288169
3575,3575,600321,*ST正源,-2.247,1.74,1.77,1.8,1.71,1.78,4996200.0,0.33075000000000004,8768260.0,-580.0,0.988,262835.7,262835.7
3592,3592,600150,*ST船舶,1.402,9.4,9.25,9.5,9.24,9.27,7422183.0,0.53857,69589901.0,-5.629,0.883,1295430.54212,1295430.54212
